lib_id,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus tanezumi,Mus domesticus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Mus domesticus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Mus domesticus,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus losea,Rattus losea,Bandicota indica,Rattus norvegicus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Bandicota indica,Bandicota indica,Bandicota indica,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Apodemus chevrieri,Apodemus chevrieri,Rattus rattus alexandrinus,Mus cookii,Mus cookii,Mus domesticus,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus norvegicus,Rattus norvegicus,Rattus nitidus,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus losea,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Rattus nitidus,Rattus nitidus,Rattus nitidus,Rattus nitidus,Rattus norvegicus,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Rattus norvegicus,Rattus nitidus,Rattus losea,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Bandicota indica,Bandicota indica,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus tanezumi
Aichivirus_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.937691985,0,0,0.42560369,0,39.1708884,0,0.445145532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aparavirus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.6496595,20.24528432,0,65.20656737,0,0,0,0,0,0,0,0,0
Aphis_glycines_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.8863773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis_dicistrovirus_3,0,0,0,0,0,0,108.1703757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenavirus_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7104.977117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arteriviridae_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181872596,0,0,6.347098792,0,0,0,2.081004142,0,0,0,0,0,0,0,0,3.969437564,0,0,0,0,0,2.828069679,0,0,0,0,0,0,0,0,6.012481469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.678865592,0,0,5.746764772,1.58670233,3.323317692,0,1.5518798,1.544658304,0,0,2.578112612,2.524392318,0,2.27351885,0,2.009487044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.336996127,0,0,0,0,1.204320554,0,0,2.441183526,0,2.908230026,0,0,0,0,5.20650984,0,0,0,1.38992583,0,0,1.472771428,0,2.052119182,0,1.729014992,3.008449899,0,0,2.344433136,3.351741601,0,0,0,2.132135404,0,0,1.386880103,0,0.338096493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamboo_rat_coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.1753308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betacoronavirus_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.2997457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46804127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.815513681,0,0,0,0,0,0,0,0,158.7388618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardamones_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5328.68601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dicistroviridae_sp.,0,0,0,0,0,0,0,1503.438082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8159717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
