Kingdom	Phylum	Class	Order	Family	Genus	Species	counts
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Porcine_bocavirus	1.793781509
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Soybean_thrips_denso-like_virus	2.396350474
Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified_Parvoviridae	Rodent_parvovirus	2.060648685
Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Porcine_circovirus	2.231763962
Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus_A	3.649124037
Viruses	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	Alphanodavirus	Boolarra_virus	2.776034
Viruses	Kitrinoviricota	Magsaviricetes	Nodamuvirales	Nodaviridae	Unclassified_Nodaviridae	Melnik_nodavirus	1.980421082
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Arenavirus	Arenavirus_sp.	3.851623805
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Cardamones_virus	3.726701624
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Mammarenavirus_1	4.626155542
Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	unclassified_Phenuiviridae	Wenzhou_rodent_phenuivirus_1	3.080656231
Viruses	Negarnaviricota	Monjiviricetes	Jingchuvirales	Aliusviridae	Ollusvirus	new_Aliusviridae1	0.685376344
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Artoviridae	Peropuvirus	Hubei_rhabdo-like_virus_6	1.672420524
Viruses	Negarnaviricota	Monjiviricetes	Jingchuvirales	Chuviridae	unclassified_Chuviridae	Wenzhou_rodent_chuvirus_1	2.080154402
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Orthorubulavirus	Rattus_tanezumi_jeilongvirus	2.718081276
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	unclassified_Paramyxoviridae	Paramyxoviridae_sp.	0.439578122
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	unclassified_Rhabdoviridae	new_Rhabdovirus_1	2.35672927
Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza_A_virus_H9N2	3.27118956
Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified_Partitiviridae	new_Partitiviridae	3.330423574
Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	unclassified_Partitiviridae	Partitiviridae_sp.	2.581156477
Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Picobirnavirus	Picobirnavirus_sp.	3.685338459
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	unclassified_Arteriviridae	Arteriviridae_sp.	1.947141831
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	unclassified_Arteriviridae	new_Arteriviridae1	1.890187124
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	unclassified_Arteriviridae	new_Arteriviridae2	4.149202168
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	unclassified_Arteriviridae	new_Arteriviridae3	3.593813672
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Arteriviridae	unclassified_Arteriviridae	new_Arteriviridae4	3.962797912
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Bamboo_rat_coronavirus	2.7932142
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Betacoronavirus_1	2.895600516
Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Tobaniviridae	Torovirus	Porcine_torovirus	3.218177827
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Porcine_sapovirus	3.099550613
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapovirus_GVII	3.151803882
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Aparavirus	Aparavirus_sp.	2.619199293
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Aphis_glycines_virus	2.742635889
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified_Dicistroviridae	Apis_dicistrovirus_3	2.038104805
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	unclassified_Dicistroviridae	Dicistroviridae_sp.	3.178186461
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Hunnivirus	Hunnivirus_A	1.134358574
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus_A	1.671906815
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Posavirus	Posavirus_1	3.157913251
Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified_Picornaviridae	Picornaviridae_sp.	4.45341316
Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Avastrovirus	Rat_astrovirus	0.10004824
Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus_3	0.233725806
Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Porcine_astrovirus	3.572677785
Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium		4.062273177
Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces		2.136564072
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		2.359705628
Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus		3.928102113
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		3.730939289
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus		3.796248725
Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus		3.239093963
Bacteria	Bacillota	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus		2.572804922
Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus		2.423975992
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter		2.243294142
Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	CAG-791		2.348625852
Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium		2.109035015
Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Hathewaya		2.717180041
Bacteria	Bacillota	Clostridia	Christensenellales	Borkfalkiaceae	Coproplasma		2.263304238
Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium		3.504206685
Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	DTU032		2.904202591
Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	UBA4923		2.894914915
Bacteria	Bacillota	Clostridia	Saccharofermentanales	Saccharofermentanaceae	Saccharofermentans		2.855990588
Bacteria	Bacillota	Bacilli_A	ML615J-28	CAG-698	DUNF01		3.705834094
Bacteria	Bacillota	Bacilli_A	Acholeplasmatales	Acholeplasmataceae	Haploplasma		2.048980197
Bacteria	Bacillota	Bacilli_A	Acholeplasmatales	UBA5453	UBA5409		2.757021319
Bacteria	Bacillota	Bacilli_A	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma		2.117343293
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		2.239610315
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64		2.337698177
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566		3.25846367
Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter		3.276740361
Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA5456		3.615566922
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium		2.037832744
Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus		3.262205714
Bacteria	Patescibacteria	Microgenomatia	UBA1400	PJMF01	JAAZKO01		2.498588617
Bacteria	Patescibacteria	Dojkabacteria	SC72 	SC72	UBA2177		2.377398114
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		3.027046228
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus		2.200213615
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella		3.013483165
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas		3.417978816
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter		3.411463805
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter		3.423703726
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia		4.354056649
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia		2.479527643
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea		2.312896806
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Providencia		2.055867199
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter		2.96773409
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus		3.285027767
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio		2.865088563
Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas		3.52427334
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		3.399987552
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		3.20708917
Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	DUOJ01		2.471668021
Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	JAAYFO01		3.098407409
Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Sphaerochaeta		2.950946843
