lib_id	group
23041811	Pig farm
23041812	Pig farm
23053101	Pig farm
23053102	Pig farm
23053103	Pig farm
23053104	Pig farm
23062311	Pig farm
23062312	Pig farm
23082301	Pig farm
23082307	Pig farm
23082308	Pig farm
23082702	Pig farm
23083002	Pig farm
23083003	Pig farm
23083004	Pig farm
23090101	Pig farm
23090103	Pig farm
23090801	Pig farm
23090802	Pig farm
23091901	Pig farm
23091902	Pig farm
23091903	Pig farm
23091904	Pig farm
23092602	Pig farm
23092605	Pig farm
23092606	Pig farm
23092608	Pig farm
23092711	Pig farm
23092713	Pig farm
23092714	Pig farm
23100505	Pig farm
23100506	Pig farm
23100603	Pig farm
23100607	Pig farm
23100608	Pig farm
23101008	Pig farm
23101009	Pig farm
23101010	Pig farm
23101011	Pig farm
23101012	Pig farm
23101013	Pig farm
23101202	Pig farm
23101203	Pig farm
23101204	Pig farm
23101206	Pig farm
23101207	Pig farm
23101209	Pig farm
23101210	Pig farm
23101211	Pig farm
23101212	Pig farm
23101213	Pig farm
23101214	Pig farm
23101215	Pig farm
23101216	Pig farm
23101302	Pig farm
23101306	Pig farm
23101307	Pig farm
23101705	Pig farm
23101706	Pig farm
23101707	Pig farm
23101709	Pig farm
23101710	Pig farm
23101711	Pig farm
23110101	Pig farm
23110102	Pig farm
23110103	Pig farm
jiada11.1	Pig farm
L2-2_L1	Pig farm
L2-3_L1	Pig farm
L2-7_L1	Pig farm
L2-8_L1	Pig farm
L3-1_L1	Pig farm
L3-2_L1	Pig farm
L6-12_L1	Pig farm
L6-14_L1	Pig farm
L7-1_L1	Pig farm
R24082903	Urban areas
R24082904	Urban areas
R24082905	Urban areas
R24082906	Urban areas
R24082907	Urban areas
R24082908	Urban areas
R24082909	Urban areas
R24082910	Urban areas
R24082911	Urban areas
R24082912	Urban areas
R24082913	Urban areas
R24082914	Urban areas
R24082915	Urban areas
R24082916	Urban areas
R24082917	Urban areas
R24082918	Urban areas
R24082919	Urban areas
R24082920	Urban areas
R24082921	Urban areas
R24082922	Urban areas
R24082923	Urban areas
R24082924	Urban areas
R24082925	Urban areas
R24082926	Urban areas
R24082927	Urban areas
R24082928	Urban areas
R24082929	Urban areas
R24082930	Urban areas
R24082931	Urban areas
R24082932	Urban areas
R24082933	Urban areas
R24083001	Urban areas
R24083002	Urban areas
R24083003	Urban areas
R24083004	Urban areas
R24083005	Urban areas
R24083006	Urban areas
R24083007	Urban areas
R24083008	Urban areas
R24083009	Urban areas
R24083010	Urban areas
R24083011	Urban areas
R24083012	Urban areas
R24083013	Urban areas
R24083014	Urban areas
R24083015	Urban areas
R24083016	Urban areas
R24092301	Urban areas
R24092302	Urban areas
R24092303	Urban areas
R24092304	Urban areas
R24092305	Urban areas
R24092306	Urban areas
R24092307	Urban areas
R24092308	Urban areas
R24092601	Urban areas
R24092602	Urban areas
R24092603	Urban areas
R24092604	Urban areas
R24092605	Urban areas
R24092606	Urban areas
R24092607	Urban areas
R24092608	Urban areas
R24092609	Urban areas
R24092610	Urban areas
R24092611	Urban areas
R24092612	Urban areas
R24092613	Urban areas
R24092614	Urban areas
R24092615	Urban areas
R24092616	Urban areas
R24100201	Urban areas
R24100202	Urban areas
R24100203	Urban areas
R24100204	Urban areas
R24100205	Urban areas
R24100206	Urban areas
R24100207	Urban areas
R24100208	Urban areas
R24100209	Urban areas
R24100210	Urban areas
R24100211	Urban areas
R24100212	Urban areas
S200040588_L01_21	Pig farm
S200040588_L01_27	Pig farm
S200040588_L01_28	Pig farm
S200040588_L01_42	Pig farm
S200040588_L01_51	Pig farm
S200040588_L01_55	Pig farm
S200040588_L01_59	Pig farm
S200040588_L01_70	Pig farm
S200040588_L01_92	Pig farm
yjyd2	Pig farm
yjyd3	Pig farm
yjyd5	Pig farm
yjydys23	Pig farm
yjydys25	Pig farm
