lib_id,Aichivirus_A,Aparavirus_sp.,Aphis_glycines_virus,Apis_dicistrovirus_3,Arenavirus_sp.,Arteriviridae_sp.,Bamboo_rat_coronavirus,Betacoronavirus_1,Boolarra_virus,Cardamones_virus,Dicistroviridae_sp.,Hubei_rhabdo-like_virus_6,Hunnivirus_A,Mamastrovirus_3,Mammarenavirus,Melnik_nodavirus,new_Aliusviridae1,new_Arteriviridae1,new_Arteriviridae2,new_Arteriviridae3,new_Arteriviridae4,new_Rhabdovirus_1,new_Partitiviridae,Paramyxoviridae_sp.,Partitiviridae_sp.,Picobirnavirus_sp.,Picornaviridae_sp.,Porcine_astrovirus,Porcine_bocavirus,Porcine_circovirus,Porcine_sapovirus,Porcine_torovirus,Posavirus,Rat_astrovirus,Rattus_tanezumi_jeilongvirus,Rodent_hepacivirus,Rodent_parvovirus,Rotavirus_A,Sapovirus_GVII,Soybean_thrips_denso-like_virus,Wenzhou_rodent_chuvirus_1,Wenzhou_rodent_phenuivirus_1
23041811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23041812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23053101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23053102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23053103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23053104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23062311,0,0,0,108.1703757,0,0,0,0,0,0,0,0,0,0,0,94.59189738,0,0,0,0,0,0,0,0,7.586988703,370.3677794,0,198.2881812,37.08698595,72.1768087,0,94.96008948,1437.511212,0,0,0,0,0.1227307,1417.41685,0,0,0
23062312,0,0,0,0,0,0,0,0,0,0,1503.438082,0,0,0,0,0,0,0,0,0,0,0,0,0,77.45357796,3751.01018,3813.910379,3263.225306,24.11174282,94.59696544,1242.093923,1556.286582,0,0,0,0,0,1.110003506,0,0,0,0
23082301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23082307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23082308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23082702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23083002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23083003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23083004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23090101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23090103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23090801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23090802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23091901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23091902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23091903,0,0,0,0,0,1.181872596,0,0,0,0,0,0,0,0.712875534,0,0,0,0,0,0,0,0,0,0,0,0.675355769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23091904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23092602,0,0,551.8863773,0,0,0,0,0,0,0,0,46.03493241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.62433151,0,0,0,0,0,0,0,8.311862797,0,0,0,0,0,0,0
23092605,0,0,0,0,0,6.347098792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259065257,0,0,0,0,0,0,0,0
23092606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.278449257,0,0,0,0,0,0,0
23092608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.65816489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337358207,0,0,0,0,0,0,0
23092711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23092713,0,0,0,0,0,2.081004142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23092714,0,0,0,0,0,0,0,577.2997457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23100506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
