lib_id,species,genus,family,year,site,type,order
23041811,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,1
23041812,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,2
23053101,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,3
23053102,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,4
23053103,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,5
23053104,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,6
23062311,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,7
23062312,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,8
23082301,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,9
23082307,Pig farm, Rattus, Muridae,2023,Zhanjiang,parend_lun,10
23082308,Pig farm, Rattus, Muridae,2023,Zhanjiang,parend_lun,11
23082702,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,12
23083002,Pig farm, Rattus, Muridae,2023,Zhanjiang,parend_lun,13
23083003,Pig farm, Rattus, Muridae,2023,Jiangmen,parend_lun,14
23083004,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,15
23090101,Pig farm, Mus, Muridae,2023,Zhanjiang,parend_lun,16
23090103,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,17
23090801,Pig farm, Mus, Muridae,2023,Yangjiang,parend_lun,18
23090802,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,19
23091901,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,20
23091902,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,21
23091903,Pig farm, Rattus, Muridae,2023,Jiangmen,parend_lun,22
23091904,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,23
23092602,Pig farm, Rattus, Muridae,2023,Zhanjiang,parend_lun,24
23092605,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,25
23092606,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,26
23092608,Pig farm, Mus, Muridae,2023,Xishan,parend_lun,27
23092711,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,28
23092713,Pig farm, Rattus, Muridae,2023,Jiangmen,parend_lun,29
23092714,Pig farm, Rattus, Muridae,2023,Zhanjiang,parend_lun,30
23100505,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,31
23100506,Pig farm, Rattus, Muridae,2023,Maoming,parend_lun,32
23100603,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,33
23100607,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,34
23100608,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,35
23101008,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,36
23101009,Pig farm, Mus, Muridae,2023,Yangjiang,parend_lun,37
23101010,Pig farm, Rattus, Muridae,2023,Yangjiang,parend_lun,38
23101011,Pig farm, Rattus, Muridae,2023,Guangzhou,parend_lun,39
23101012,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,40
23101013,Pig farm, Rattus, Muridae,2023,Jiangmen,parend_lun,41
23101202,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,42
23101203,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,43
23101204,Pig farm, Rattus, Muridae,2023,Zhaoqing,parend_lun,44
