Id	Site	Group	lat	long
23041811	23041811	Zhaoqing	Pig farm	112.51	22.95
23041812	23041812	Zhaoqing	Pig farm	112.51	22.95
23053101	23053101	Yangjiang	Pig farm	112.05	21.83
23053102	23053102	Yangjiang	Pig farm	112.05	21.83
23053103	23053103	Yangjiang	Pig farm	112.05	21.83
23053104	23053104	Yangjiang	Pig farm	112.05	21.83
23062311	23062311	Guangzhou	Pig farm	113.58	23.52
23062312	23062312	Guangzhou	Pig farm	113.58	23.52
23082301	23082301	Yangjiang	Pig farm	112.05	21.83
23082307	23082307	Zhanjiang	Pig farm	110.38	20.64
23082308	23082308	Zhanjiang	Pig farm	110.38	20.64
23082702	23082702	Zhaoqing	Pig farm	112.51	22.95
23083002	23083002	Zhanjiang	Pig farm	110.32	20.6
23083003	23083003	Jiangmen	Pig farm	114.41	26.39
23083004	23083004	Zhaoqing	Pig farm	112.54	23.42
23090101	23090101	Zhanjiang	Pig farm	110.38	20.64
23090103	23090103	Yangjiang	Pig farm	112.05	21.83
23090801	23090801	Yangjiang	Pig farm	112.05	21.83
23090802	23090802	Yangjiang	Pig farm	112.05	21.83
23091901	23091901	Yangjiang	Pig farm	112.05	21.83
23091902	23091902	Yangjiang	Pig farm	112.05	21.83
23091903	23091903	Jiangmen	Pig farm	112.94	22.73
23091904	23091904	Zhaoqing	Pig farm	112.54	23.42
23092602	23092602	Zhanjiang	Pig farm	110.32	20.6
23092605	23092605	Guangzhou	Pig farm	113.58	23.52
23092606	23092606	Guangzhou	Pig farm	113.58	23.52
23092608	23092608	Xishan	Pig farm	102.66	25.04
23092711	23092711	Guangzhou	Pig farm	113.58	23.52
23092713	23092713	Jiangmen	Pig farm	113.41	25.39
23092714	23092714	Zhanjiang	Pig farm	110.32	20.6
23100505	23100505	Zhaoqing	Pig farm	112.54	23.42
23100506	23100506	Maoming	Pig farm	110.79	22.47
23100603	23100603	Guangzhou	Pig farm	113.58	23.52
23100607	23100607	Guangzhou	Pig farm	113.89	23.22
23100608	23100608	Guangzhou	Pig farm	113.89	23.22
23101008	23101008	Yangjiang	Pig farm	112.05	21.83
23101009	23101009	Yangjiang	Pig farm	112.05	21.83
23101010	23101010	Yangjiang	Pig farm	112.05	21.83
23101011	23101011	Guangzhou	Pig farm	113.58	23.52
23101012	23101012	Zhaoqing	Pig farm	112.51	22.95
23101013	23101013	Jiangmen	Pig farm	112.41	24.39
23101202	23101202	Zhaoqing	Pig farm	112.51	22.95
23101203	23101203	Zhaoqing	Pig farm	112.51	22.95
23101204	23101204	Zhaoqing	Pig farm	112.51	22.95
23101206	23101206	Yangjiang	Pig farm	112.05	21.83
23101207	23101207	Yangjiang	Pig farm	112.05	21.83
23101209	23101209	Yangjiang	Pig farm	112.05	21.83
23101210	23101210	Yangjiang	Pig farm	112.05	21.83
23101211	23101211	Yangjiang	Pig farm	112.05	21.83
23101212	23101212	Yangjiang	Pig farm	112.05	21.83
23101213	23101213	Yangjiang	Pig farm	112.05	21.83
23101214	23101214	Yangjiang	Pig farm	112.05	21.83
23101215	23101215	Yangjiang	Pig farm	112.05	21.83
23101216	23101216	Yangjiang	Pig farm	112.05	21.83
23101302	23101302	Zhaoqing	Pig farm	112.51	22.95
23101306	23101306	Zhaoqing	Pig farm	112.51	22.95
23101307	23101307	Yangjiang	Pig farm	112.05	21.83
23101705	23101705	Jiangmen	Pig farm	112.94	22.73
23101706	23101706	Zhaoqing	Pig farm	112.54	23.42
23101707	23101707	Yangjiang	Pig farm	112.05	21.83
23101709	23101709	Yangjiang	Pig farm	112.05	21.83
23101710	23101710	Yangjiang	Pig farm	112.05	21.83
23101711	23101711	Yangjiang	Pig farm	112.05	21.83
23110101	23110101	Zhanjiang	Pig farm	110.32	20.6
23110102	23110102	Zhanjiang	Pig farm	110.32	20.6
23110103	23110103	Zhanjiang	Pig farm	110.32	20.6
jiada11.1	jiada11.1	Zhaoqing	Pig farm	112.51	22.95
L2-2_L1	L2-2_L1	Yangjiang	Pig farm	112.12	21.96
L2-3_L1	L2-3_L1	Yangjiang	Pig farm	112.12	21.96
L2-7_L1	L2-7_L1	Yangjiang	Pig farm	112.12	21.96
L2-8_L1	L2-8_L1	Zhaoqing	Pig farm	112.51	22.95
L3-1_L1	L3-1_L1	Guangzhou	Pig farm	113.58	23.52
L3-2_L1	L3-2_L1	Guangzhou	Pig farm	113.58	23.52
L6-12_L1	L6-12_L1	Zhanjiang	Pig farm	110.32	20.6
L6-14_L1	L6-14_L1	Jiangmen	Pig farm	112.94	22.73
L7-1_L1	L7-1_L1	Guangzhou	Pig farm	113.58	23.52
R24082903	R24082903	Guangzhou	Urban areas	113.46	23.08
R24082904	R24082904	Guangzhou	Urban areas	113.46	23.08
R24082905	R24082905	Guangzhou	Urban areas	113.46	23.08
R24082906	R24082906	Guangzhou	Urban areas	113.46	23.08
R24082907	R24082907	Guangzhou	Urban areas	113.46	23.08
R24082908	R24082908	Guangzhou	Urban areas	113.46	23.08
R24082909	R24082909	Guangzhou	Urban areas	113.46	23.08
R24082910	R24082910	Guangzhou	Urban areas	113.46	23.08
R24082911	R24082911	Guangzhou	Urban areas	113.46	23.08
R24082912	R24082912	Guangzhou	Urban areas	113.46	23.08
