ssciname	Kingdom	Phylum	Class	Order	Family	Genus	Species
Acinetobacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__
Actinobacillus	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Actinobacillus	s__
Aeromonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__
Agathobacter	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__
Aliarcobacter	k__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__
Azonexus	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Azonexus	s__
Bacteroides	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
Bordetella	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Bordetella	s__
CAG-791	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-791	s__
Citrobacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__
Clostridium	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
Coproplasma	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__Borkfalkiaceae	g__Coproplasma	s__
Cutibacterium	k__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__
DMER64	k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__DMER64	s__
DTU032	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Saccharofermentanales	f__DTU023	g__DTU032	s__
DUNF01	k__Bacteria	p__Bacillota_I	c__Bacilli_A	o__ML615J-28	f__CAG-698	g__DUNF01	s__
DUOJ01	k__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Sphaerochaetales	f__Sphaerochaetaceae	g__DUOJ01	s__
Desulfomicrobium	k__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfomicrobiaceae	g__Desulfomicrobium	s__
Enterobacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__
Escherichia	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__
Haploplasma	k__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Acholeplasmatales	f__Acholeplasmataceae	g__Haploplasma	s__
Hathewaya	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Hathewaya	s__
JAAYFO01	k__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Sphaerochaetales	f__Sphaerochaetaceae	g__JAAYFO01	s__
JAAZKO01	k__Bacteria	p__Patescibacteria	c__Microgenomatia	o__UBA1400	f__PJMF01	g__JAAZKO01	s__
Lactobacillus	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__
Lactococcus	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__
Latilactobacillus	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Latilactobacillus	s__
Leclercia	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__
Limosilactobacillus	k__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__
Methylomonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylomonas	s__
Pantoea	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__
Paraclostridium	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__
Providencia	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__
Pseudomonas	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__
Rodentibacter	k__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Pasteurellaceae	g__Rodentibacter	s__
Saccharofermentans	k__Bacteria	p__Bacillota_A	c__Clostridia	o__Saccharofermentanales	f__Saccharofermentanaceae	g__Saccharofermentans	s__
Sphaerochaeta	k__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Sphaerochaetales	f__Sphaerochaetaceae	g__Sphaerochaeta	s__
Sphingomonas	k__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__
