virus_name,virus_name_abbr,order,virus_family,virus_of_concern
Aichivirus_A,Aichivirus_A,1,Picornaviridae,No
Aparavirus_sp.,Aparavirus_sp.,2,Dicistroviridae,No
Aphis_glycines_virus,Aphis_glycines_virus,3,Dicistroviridae,No
Apis_dicistrovirus_3,Apis_dicistrovirus_3,4,Dicistroviridae,No
Arenavirus_sp.,Arenavirus_sp.,5,Arenaviridae,No
Arteriviridae_sp.,Arteriviridae_sp.,6,Arteriviridae,No
Bamboo_rat_coronavirus,Bamboo_rat_coronavirus,7,Coronaviridae,No
Betacoronavirus_1,Betacoronavirus_1,8,Coronaviridae,Yes
Cardamones_virus,Cardamones_virus,9,Arenaviridae,No
Dicistroviridae_sp.,Dicistroviridae_sp.,10,Dicistroviridae,No
Hubei_rhabdo-like_virus_6,Hubei_rhabdo-like_virus_6,11,Artoviridae,No
Hunnivirus_A,Hunnivirus_A,12,Picornaviridae,No
Infectious_bronchitis_virus,Infectious_bronchitis_virus,13,Coronaviridae,No
Influenza_A_virus_H9N2,Influenza_A_virus_H9N2,14,Orthomyxoviridae,Yes
Mamastrovirus_3,Mamastrovirus_3,15,Astroviridae,Yes
Mammarenavirus,Mammarenavirus,16,Arenaviridae,No
new_Aliusviridae1,new_Aliusviridae1,17,Aliusviridae,No
new_Arteriviridae1,new_Arteriviridae1,18,Arteriviridae,No
new_Arteriviridae2,new_Arteriviridae2,19,Arteriviridae,No
new_Arteriviridae3,new_Arteriviridae3,20,Arteriviridae,No
new_Arteriviridae4,new_Arteriviridae4,21,Arteriviridae,No
new_Rhabdovirus_1,new_Rhabdovirus_1,22,Rhabdoviridae,No
new_Partitiviridae,new_Partitiviridae,23,Partitiviridae,No
Paramyxoviridae_sp.,Paramyxoviridae_sp.,24,Paramyxoviridae,No
Partitiviridae_sp.,Partitiviridae_sp.,25,Partitiviridae,No
Picobirnavirus_sp.,Picobirnavirus_sp.,27,Picobirnaviridae,No
Picornaviridae_sp.,Picornaviridae_sp.,28,Picornaviridae,No
Porcine_astrovirus,Porcine_astrovirus,29,Astroviridae,Yes
Porcine_bocavirus,Porcine_bocavirus,30,Parvoviridae,Yes
Porcine_circovirus,Porcine_circovirus,31,Circoviridae,Yes
Porcine_sapovirus,Porcine_sapovirus,32,Caliciviridae,Yes
Porcine_torovirus,Porcine_torovirus,33,Tobaniviridae,Yes
Posavirus,Posavirus,34,Picornaviridae,No
Rat_astrovirus,Rat_astrovirus,35,Astroviridae,No
Rattus_tanezumi_jeilongvirus,Rattus_tanezumi_jeilongvirus,36,Paramyxoviridae,No
Rodent_parvovirus,Rodent_parvovirus,37,Parvoviridae,No
Rotavirus_A,Rotavirus_A,38,Sedoreoviridae,Yes
Sapovirus_GVII,Sapovirus_GVII,39,Caliciviridae,No
Soybean_thrips_denso-like_virus,Soybean_thrips_denso-like_virus,40,Parvoviridae,No
Wenzhou_rodent_chuvirus_1,Wenzhou_rodent_chuvirus_1,41,Chuviridae,No
Wenzhou_rodent_phenuivirus_1,Wenzhou_rodent_phenuivirus_1,42,Phenuiviridae,No
Boolarra_virus,Boolarra_virus,43,Nodaviridae,No
Melnik_nodavirus,Melnik_nodavirus,44,Nodaviridae,No
